-0.000000000000000000e+00,-5.350000000000000311e-01,-4.959999999999999964e-01,-5.510000000000000453e-01
-0.000000000000000000e+00,-5.280000000000000249e-01,-4.969999999999999973e-01,-5.719999999999999529e-01
-0.000000000000000000e+00,-5.110000000000000098e-01,-4.989999999999999991e-01,-6.310000000000000053e-01
-0.000000000000000000e+00,-4.849999999999999867e-01,-5.020000000000000018e-01,-7.229999999999999760e-01
-0.000000000000000000e+00,-4.540000000000000147e-01,-5.070000000000000062e-01,-8.389999999999999680e-01
-0.000000000000000000e+00,-4.199999999999999845e-01,-5.140000000000000124e-01,-9.729999999999999760e-01
-0.000000000000000000e+00,-3.870000000000000107e-01,-5.250000000000000222e-01,-1.118999999999999995e+00
-1.000000000000000021e-03,-3.579999999999999849e-01,-5.410000000000000364e-01,-1.268999999999999906e+00
-1.000000000000000021e-03,-3.350000000000000200e-01,-5.620000000000000551e-01,-1.403999999999999915e+00
-1.000000000000000021e-03,-3.200000000000000067e-01,-5.889999999999999680e-01,-1.528000000000000025e+00
-2.000000000000000042e-03,-3.099999999999999978e-01,-6.229999999999999982e-01,-1.639999999999999902e+00
-2.000000000000000042e-03,-3.079999999999999960e-01,-6.640000000000000346e-01,-1.741999999999999993e+00
-2.000000000000000042e-03,-3.140000000000000013e-01,-7.129999999999999671e-01,-1.834000000000000075e+00
-3.000000000000000062e-03,-3.280000000000000138e-01,-7.720000000000000195e-01,-1.915000000000000036e+00
-3.000000000000000062e-03,-3.489999999999999769e-01,-8.309999999999999609e-01,-1.977000000000000091e+00
-3.000000000000000062e-03,-3.719999999999999973e-01,-8.850000000000000089e-01,-2.020999999999999908e+00
-3.000000000000000062e-03,-3.950000000000000178e-01,-9.310000000000000497e-01,-2.051000000000000156e+00
-3.000000000000000062e-03,-4.149999999999999800e-01,-9.649999999999999689e-01,-2.068999999999999950e+00
-3.000000000000000062e-03,-4.269999999999999907e-01,-9.859999999999999876e-01,-2.079000000000000181e+00
-2.000000000000000042e-03,-4.319999999999999951e-01,-9.929999999999999938e-01,-2.081999999999999851e+00
